material_id,formula_pretty,source_collection,material_status,bucket,channel_quality,cif_path
2dm-4168,CdSbS2Cl,Vertical_NM_Sample_200_v2,no retained channel,not retained,electron_x=weak;hole_x=weak;electron_y=weak;hole_y=weak,材料/not retained/2dm-4168__CdSbS2Cl.cif
2dm-4169,MoCl2,Vertical_NM_Sample_100,no retained channel,not retained,electron_x=weak;hole_x=weak;electron_y=weak;hole_y=weak,材料/not retained/2dm-4169__MoCl2.cif
2dm-4179,SbClO,Vertical_NM_Sample_100,no retained channel,not retained,electron_x=weak;hole_x=weak;electron_y=weak;hole_y=weak,材料/not retained/2dm-4179__SbClO.cif
2dm-418,NO2,Vertical_NM_Sample_200_v2,>=1 filtered channel,high-quality,electron_x=weak;hole_x=weak;electron_y=filtered;hole_y=weak,材料/high-quality/2dm-418__NO2.cif
2dm-4188,CaO2,Vertical_NM_Sample_100,>=1 filtered channel,high-quality,electron_x=filtered;hole_x=filtered;electron_y=filtered;hole_y=caution,材料/high-quality/2dm-4188__CaO2.cif
2dm-4208,Bi4Te2Br2O9,Vertical_NM_Sample_200_v2,>=1 filtered channel,high-quality,electron_x=filtered;hole_x=weak;electron_y=filtered;hole_y=weak,材料/high-quality/2dm-4208__Bi4Te2Br2O9.cif
2dm-4218,TaAsO4,Vertical_NM_Sample_50_1_v6,>=1 filtered channel,high-quality,electron_x=filtered;hole_x=filtered;electron_y=filtered;hole_y=weak,材料/high-quality/2dm-4218__TaAsO4.cif
2dm-4244,ScBrO,Vertical_NM_Sample_200_v2,>=1 filtered channel,high-quality,electron_x=filtered;hole_x=caution;electron_y=filtered;hole_y=weak,材料/high-quality/2dm-4244__ScBrO.cif
2dm-4249,BaP2(HO)4,Vertical_NM_Sample_100,>=1 filtered channel,high-quality,electron_x=caution;hole_x=weak;electron_y=caution;hole_y=filtered,材料/high-quality/2dm-4249__BaP2_HO_4.cif
2dm-4252,GeClF,Vertical_NM_Sample_200_v2,caution-only,moderate-quality,electron_x=caution;hole_x=weak;electron_y=caution;hole_y=caution,材料/moderate-quality/2dm-4252__GeClF.cif
2dm-4257,YIO,Vertical_NM_Sample_100_v1,>=1 filtered channel,high-quality,electron_x=filtered;hole_x=weak;electron_y=filtered;hole_y=weak,材料/high-quality/2dm-4257__YIO.cif
2dm-4267,AgCSN,Vertical_NM_Sample_50_v3,no retained channel,not retained,electron_x=weak;hole_x=weak;electron_y=weak;hole_y=weak,材料/not retained/2dm-4267__AgCSN.cif
2dm-4288,Ca(ClO2)2,Vertical_NM_Sample_100,>=1 filtered channel,high-quality,electron_x=filtered;hole_x=weak;electron_y=filtered;hole_y=weak,材料/high-quality/2dm-4288__Ca_ClO2_2.cif
2dm-4307,Bi3O2F5,Vertical_NM_Sample_200_v2,>=1 filtered channel,high-quality,electron_x=filtered;hole_x=weak;electron_y=weak;hole_y=filtered,材料/high-quality/2dm-4307__Bi3O2F5.cif
2dm-4311,KAsO2,Vertical_NM_Sample_100_v1,>=1 filtered channel,high-quality,electron_x=filtered;hole_x=caution;electron_y=weak;hole_y=weak,材料/high-quality/2dm-4311__KAsO2.cif
2dm-4359,PbF4,Vertical_NM_Sample_100,>=1 filtered channel,high-quality,electron_x=filtered;hole_x=caution;electron_y=filtered;hole_y=caution,材料/high-quality/2dm-4359__PbF4.cif
2dm-437,BeBr2,Vertical_NM_Sample_100_v1,>=1 filtered channel,high-quality,electron_x=weak;hole_x=weak;electron_y=weak;hole_y=filtered,材料/high-quality/2dm-437__BeBr2.cif
2dm-4375,LuSBr,Vertical_NM_Sample_100,>=1 filtered channel,high-quality,electron_x=filtered;hole_x=filtered;electron_y=filtered;hole_y=caution,材料/high-quality/2dm-4375__LuSBr.cif
2dm-439,AsCl3,Vertical_NM_Sample_other_v5,no retained channel,not retained,electron_x=weak;hole_x=weak;electron_y=weak;hole_y=weak,材料/not retained/2dm-439__AsCl3.cif
2dm-4395,PrBrO,Vertical_NM_Sample_200_v2,caution-only,moderate-quality,electron_x=caution;hole_x=weak;electron_y=caution;hole_y=weak,材料/moderate-quality/2dm-4395__PrBrO.cif
2dm-4401,NaB(CO2)4,Vertical_NM_Sample_200_v2,>=1 filtered channel,high-quality,electron_x=filtered;hole_x=weak;electron_y=filtered;hole_y=filtered,材料/high-quality/2dm-4401__NaB_CO2_4.cif
2dm-441,TbF3,Vertical_NM_Sample_100_v1,>=1 filtered channel,high-quality,electron_x=filtered;hole_x=filtered;electron_y=filtered;hole_y=weak,材料/high-quality/2dm-441__TbF3.cif
2dm-4445,AgO2F,Vertical_NM_Sample_200_v2,>=1 filtered channel,high-quality,electron_x=filtered;hole_x=weak;electron_y=weak;hole_y=caution,材料/high-quality/2dm-4445__AgO2F.cif
2dm-4452,SnSO4,Vertical_NM_Sample_200_v2,>=1 filtered channel,high-quality,electron_x=filtered;hole_x=weak;electron_y=caution;hole_y=weak,材料/high-quality/2dm-4452__SnSO4.cif
2dm-4456,TmBrO,Vertical_NM_Sample_200_v2,no retained channel,not retained,electron_x=weak;hole_x=weak;electron_y=weak;hole_y=weak,材料/not retained/2dm-4456__TmBrO.cif
2dm-4474,LuBrO,Vertical_NM_Sample_200_v2,no retained channel,not retained,electron_x=weak;hole_x=weak;electron_y=weak;hole_y=weak,材料/not retained/2dm-4474__LuBrO.cif
2dm-4478,GeSe,Vertical_NM_Sample_200_v2,>=1 filtered channel,high-quality,electron_x=caution;hole_x=filtered;electron_y=caution;hole_y=filtered,材料/high-quality/2dm-4478__GeSe.cif
2dm-4485,Sn2SbS2I3,Vertical_NM_Sample_200_v2,no retained channel,not retained,electron_x=weak;hole_x=weak;electron_y=weak;hole_y=weak,材料/not retained/2dm-4485__Sn2SbS2I3.cif
2dm-4491,AlP,Vertical_NM_Sample_200_v2,>=1 filtered channel,high-quality,electron_x=weak;hole_x=filtered;electron_y=weak;hole_y=filtered,材料/high-quality/2dm-4491__AlP.cif
2dm-4498,InPbCl3,Vertical_NM_Sample_50_v3,>=1 filtered channel,high-quality,electron_x=filtered;hole_x=weak;electron_y=filtered;hole_y=weak,材料/high-quality/2dm-4498__InPbCl3.cif
2dm-4517,Cu2WS4,Vertical_NM_Sample_200_v2,>=1 filtered channel,high-quality,electron_x=filtered;hole_x=filtered;electron_y=filtered;hole_y=filtered,材料/high-quality/2dm-4517__Cu2WS4.cif
2dm-4524,UCO5,Vertical_NM_Sample_100,>=1 filtered channel,high-quality,electron_x=caution;hole_x=filtered;electron_y=filtered;hole_y=filtered,材料/high-quality/2dm-4524__UCO5.cif
2dm-453,NdCl3,Vertical_NM_Sample_50_v3,>=1 filtered channel,high-quality,electron_x=filtered;hole_x=weak;electron_y=weak;hole_y=filtered,材料/high-quality/2dm-453__NdCl3.cif
2dm-4538,Sr(ClO2)2,Vertical_NM_Sample_200_v2,caution-only,moderate-quality,electron_x=caution;hole_x=weak;electron_y=caution;hole_y=weak,材料/moderate-quality/2dm-4538__Sr_ClO2_2.cif
